periodo,cve_ent,ent,cve_mun,ent_mun,mun,evmun2018,ev2018,ev2008,ev1998,pob_tot,hombres,mujeres,analf,po2sm,gini,hom_doloso,hom_culposo,num_consul,ictpc,inc_delic15,evmun2018.IMP,hom_doloso.IMP,hom_culposo.IMP,inc_delic15.IMP
2016,1,Aguascalientes,1001,11,Aguascalientes,74.3,75.7,75.74,74.79,875860,425135,450725,2.06,31.13,0.437,27,105,238,"3,529.83",18445,74.3,27,105,18445
2016,1,Aguascalientes,1002,12,Asientos,73.8,75.7,75.74,74.79,49934,24768,25167,4.47,52.76,0.371,0,12,24,"1,360.06",236,73.8,0,12,236
2016,1,Aguascalientes,1003,13,Calvillo,74.2,75.7,75.74,74.79,58267,28385,29882,4.8,61.95,0.384,3,11,45,"1,733.43",543,74.2,3,11,543
2016,1,Aguascalientes,1004,14,Cosío,NA,75.7,75.74,74.79,16378,8036,8342,4.35,49.79,0.381,0,2,7,"1,804.29",153,73.5852499,0,2,153
2016,1,Aguascalientes,1005,15,Jesús María,74.5,75.7,75.74,74.79,113254,55814,57440,3.26,33.77,0.421,2,18,28,"2,404.17",1220,74.5,2,18,1220
2016,1,Aguascalientes,1006,16,Pabellón de Arteaga,74.2,75.7,75.74,74.79,45183,21771,23412,3.41,41.48,0.431,1,10,16,"2,483.32",641,74.2,1,10,641
2016,1,Aguascalientes,1007,17,Rincón de Romos,74.2,75.7,75.74,74.79,53225,26222,27003,3.53,43.44,0.432,3,19,39,"2,157.07",528,74.2,3,19,528
2016,1,Aguascalientes,1008,18,San José de Gracia,NA,75.7,75.74,74.79,9258,4468,4790,3.2,44.93,0.452,0,3,12,"1,830.86",55,71.45124942,0,3,55
2016,1,Aguascalientes,1009,19,Tepezalá,NA,75.7,75.74,74.79,21698,10651,11047,4.23,49.39,0.349,0,1,12,"1,634.39",147,73.62805986,0,1,147
2016,1,Aguascalientes,1010,110,El Llano,NA,75.7,75.74,74.79,20499,10446,10052,4.92,48.8,0.357,1,5,9,"1,499.43",156,73.84727145,1,5,156
2016,1,Aguascalientes,1011,111,San Francisco de los Romo,74.4,75.7,75.74,74.79,41188,20301,20886,2.94,35.49,0.393,2,8,10,"2,231.56",450,74.4,2,8,450
